"","x"
"3298","PI-O_36:1_[M+H]1+"
"3299","425.2552_1.365917"
"3300","643.2802_2.001083"
"3301","345.2073_1.874667"
"3302","345.2073_1.964083"
"3303","405.2301_1.961"
"3304","245.093_0.814"
"3305","305.1145_0.8633333"
"3306","355.285_6.5305"
"3307","415.3109_6.444167"
"3308","313.2383_6.3455"
"3309","343.2758_6.536667"
"3310","425.2541_1.713562"
"3311","pregn.steroid.monosulfate."
"3312","PS(35:2) _[M+OAc]1-"
"3313","PS(42:5)_[M+OAc]1-"
"3314","PS(42:7)_[M+OAc]1-"
"3315","PS(44:6)_[M+OAc]1-"
"3316","PS-O_42:6_[M+H]1+"
"3317","PS-P_42:1_[M+H]1+ / PG-P_42:6_[M+NH4]1+"
"3318","Polyunsaturated fatty acids"
"3319","623.3285_2.670167"
"3320","505.3368_3.094125"
"3321","447.2982_2.787333"
"3322","481.2447_1.3875"
"3323","481.2431_1.447625"
"3324","452.2787_5.278666"
"3325","452.2787_5.3465"
"3326","504.3087_4.406083"
"3327","480.3099_6.347813"
"3328","480.3099_6.2715"
"3329","479.2294_1.344333"
"3330","519.3181_3.112625"
"3331","519.319_3.174292"
"3332","463.2343_1.880833"
"3333","463.2344_1.973333"
"3334","465.2439_2.491333"
"3335","465.2497_2.400375"
"3336","467.2658_1.987208"
"3337","467.265_1.9425"
"3338","319.2216_2.152167"
"3339","495.2968_2.472833"
"3340","495.2988_2.417333"
"3341","303.2235_6.246833"
"3342","303.2243_6.283834"
"3343","303.2244_6.203667"
"3344","465.2492_2.146"
"3345","465.2495_2.096667"
"3346","583.2555_6.508917"
"3347","567.319_2.750333"
"3348","303.0486_0.8263333"
"3349","360.1294_0.8448333"
"3350","368.2804_6.283834"
"3351","608.3594_5.3095"
"3352","500.2952_2.263167"
"3353","500.291_2.34025"
"3354","574.1896_4.011416"
"3355","Remnant cholesterol (non-HDL, non-LDL -cholesterol)"
"3356","Cholesterol in small HDL"
"3357","Cholesteryl esters in small HDL"
"3358","Free cholesterol in small HDL"
"3359","Total lipids in small HDL"
"3360","Concentration of small HDL particles"
"3361","Phospholipids in small HDL"
"3362","Triglycerides in small HDL"
"3363","Cholesterol in small LDL"
"3364","Cholesteryl esters in small LDL"
"3365","Free cholesterol in small LDL"
"3366","Total lipids in small LDL"
"3367","Concentration of small LDL particles"
"3368","Phospholipids in small LDL"
"3369","Triglycerides in small LDL"
"3370","Cholesterol in small VLDL"
"3371","Cholesteryl esters in small VLDL"
"3372","Free cholesterol in small VLDL"
"3373","Total lipids in small VLDL"
"3374","Concentration of small VLDL particles"
"3375","Phospholipids in small VLDL"
"3376","Triglycerides in small VLDL"
"3377","Serum total triglycerides (Serum-TG)"
"3378","Serum-C"
"3379","Saturated fatty acids"
"3380","S-HDL-L"
"3381","S-HDL-P"
"3382","S-HDL-TG"
"3383","S-LDL-C"
"3384","S-LDL-L"
"3385","S-LDL-P"
"3386","SM 14:0Mol%"
"3387","SM 15:0"
"3388","SM 15:0Mol%"
"3389","SM 16:1Mol%"
"3390","SM 17:0"
"3391","SM 17:0Mol%"
"3392","SM 20:0Mol%"
"3393","SM 22:1Mol%"
"3394","SM 23:0Mol%"
"3395","SM 24:0Mol%"
"3396","SM 24:1Mol%"
"3397","SM dih 16:0Mol%"
"3398","SM_34:0_[M+H]1+"
"3399","SM(34:0)_[M-CH3]1-"
"3400","SM(34:0)_[M+H]1+"
"3401","SM_34:1_[M+H]1+"
"3402","SM(34:1)_[M-CH3]1-"
"3403","SM(34:1)_[M+H]1+"
"3404","SM_35:1_[M+H]1+"
"3405","SM_36:0_[M+H]1+"
"3406","SM(36:0)_[M-CH3]1-"
"3407","SM(36:0)_[M+H]1+"
"3408","SM_36:1_[M+H]1+"
"3409","SM(36:1)_[M-CH3]1-"
"3410","SM(36:1)_[M+H]1+"
"3411","SM_36:2_[M+H]1+"
"3412","SM(36:2)_[M+H]1+"
"3413","SM_37:1_[M+H]1+"
"3414","SM(37:1)_[M+H]1+"
"3415","SM(37:1)_[M-CH3]1-"
"3416","SM(38:0)_[M+H]1+"
"3417","SM_38:1_[M+H]1+"
"3418","SM(38:1)_[M+H]1+"
"3419","SM(38:1)_[M+CH3]1-"
"3420","SM_38:2_[M+H]1+"
"3421","SM_39:1_[M+H]1+"
"3422","SM(39:1)_[M+H]1+"
"3423","SM(39:1)_[M-CH3]1-"
"3424","SM_39:2_[M+H]1+"
"3425","SM_40:0_[M+H]1+"
"3426","SM(40:0)_[M+OAc]1-"
"3427","SM_40:1_[M+H]1+"
"3428","SM(40:1)_[M-CH3]1-"
"3429","SM_40:2_[M+H]1+"
"3430","SM(40:2)_[M-CH3]1-"
"3431","SM_40:3_[M+H]1+"
"3432","SM_41:0_[M+H]1+"
"3433","SM(41:1)_[M+H]1+"
"3434","SM(42:0)_[M+OAc]1-"
"3435","SM_42:1_[M+H]1+"
"3436","SM_42:2_[M+OAc]1-"
"3437","SM_42:2_[M+H]1+"
"3438","SM(42:2)_[M+OAc]1-"
"3439","SM(42:4)_[M+H]1+"
"3440","SM_43_2_[M+H]1+"
"3441","SM(43:2)_[M-CH3]1-"
"3442","SM(44:9)_[M+H]1-"
"3443","sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)"
"3444","389.2303_2.660917"
"3445","S-VLDL-C"
"3446","S-VLDL-FC"
"3447","S-VLDL-L"
"3448","S-VLDL-P"
"3449","S-VLDL-PL"
"3450","S-VLDL-TG"
"3451","TG_45:4_[M+NH4]1+"
"3452","TG(54:2)_[M+NH4]1+"
"3453","TGoxid(53:3)_[M+NH4]1+"
"3454","TG-PG"
"3455","Acylcarnitine total"
"3456","Carnitine free"
"3457","Total fatty acids"
"3458","Total concentration of branched-chain amino acids (leucine + isoleucine + valine)"
"3459","Total cholesterol"
"3460","Total esterified cholesterol"
"3461","Total free cholesterol"
"3462","Total lipids in lipoprotein particles"
"3463","Total concentration of lipoprotein particles"
"3464","Total phospholipids in lipoprotein particles"
"3465","Total triglycerides"
"3466","Tot-C"
"3467","TotPG"
"3468","Triglycerides in chylomicrons (ultra-low density lipoprotein) and largest VLDL (CM-LAR-VLDL-TG)"
"3469","VLDL cholesterol"
"3470","Cholesteryl esters in VLDL"
"3471","Free cholesterol in VLDL"
"3472","Total lipids in VLDL"
"3473","Concentration of VLDL particles"
"3474","Phospholipids in VLDL"
"3475","Average diameter for VLDL particles"
"3476","Triglycerides in VLDL"
"3477","VLDL-D"
"3478","VLDL-TG"
"3479","X...01911"
"3480","X...02249"
"3481","X...02269"
"3482","X...09789"
"3483","X-01911"
"3484","X-02249"
"3485","X-02269"
"3486","X-03094"
"3487","X-04498"
"3488","X-06246"
"3489","X-06307"
"3490","X-07765"
"3491","X-08402"
"3492","X-08988"
"3493","X-09789"
"3494","X1..1.enyl.oleoyl..GPE..P.18.1.."
"3495","X-10358"
"3496","X-10395"
"3497","X-10429"
"3498","X-10510"
"3499","X-11204"
"3500","X-11244"
"3501","X-11247"
"3502","X-11255"
"3503","X-11261"
"3504","X-11299"
"3505","X-11305"
"3506","X-11315"
"3507","X-11317"
"3508","X-11327"
"3509","X-11334"
"3510","X-11381"
"3511","X-11412"
"3512","X-11421"
"3513","X-11423--O-sulfo-L-tyrosine"
"3514","X-11429"
"3515","X-11438"
"3516","X-11440"
"3517","X-11441"
"3518","X-11442"
"3519","X-11444"
"3520","X-11452"
"3521","X-11469"
"3522","X-11470"
"3523","X-11478"
"3524","X-11483"
"3525","X-11491"
"3526","X-11521"
"3527","X-11522"
"3528","X-11529"
"3529","X-11530"
"3530","X-11537"
"3531","X-11538"
"3532","X-11550"
"3533","X-11564"
"3534","X-11593--O-methylascorbate*"
"3535","X-11787"
"3536","X-11792"
"3537","X-11793--oxidized bilirubin*"
"3538","X-11799"
"3539","X-11818"
"3540","X-11820"
"3541","X-11858"
"3542","X-11880"
"3543","X-11905"
"3544","X-12007"
"3545","X-12013"
"3546","X-12038"
"3547","X-12040"
"3548","X-12063"
"3549","X-12092"
"3550","X-12093"
"3551","X-12094"
"3552","X-12101"
"3553","X-12188"
"3554","X-12189"
"3555","X-12206"
"3556","X-12231"
"3557","X-12411"
"3558","X-12435"
"3559","X-12450"
"3560","X-12456"
"3561","X-12472"
"3562","X-12524"
"3563","X-12556"
"3564","X-12627"
"3565","X-12644"
"3566","X-12681"
"3567","X-12688"
"3568","X-12696"
"3569","X-12704"
"3570","X-12712"
"3571","X-12728"
"3572","X-12729"
"3573","X-12740"
"3574","X-12748"
"3575","X-12749"
"3576","X-12798"
"3577","X-12816"
"3578","X-12822"
"3579","X-12844"
"3580","X-12846"
"3581","X-12850"
"3582","X-12855"
"3583","X-13069"
"3584","X-13215"
"3585","X-13429"
"3586","X-13435"
"3587","X-13477"
"3588","X-13496"
"3589","X-13548"
"3590","X-13658"
"3591","X-13671"
"3592","X-13741"
"3593","X-13859"
"3594","X-14056"
"3595","X-14086"
"3596","X-14473"
"3597","X-14568"
"3598","X-14625"
"3599","X-14626"
"3600","X-14632"
"3601","X-14662"
"3602","X-14838"
"3603","X-14939"
"3604","X-15245"
"3605","X-15486"
"3606","X-15492"
"3607","X-15497"
"3608","X-16123"
"3609","X-16580"
"3610","X-16944"
"3611","X-16946"
"3612","X-17010"
"3613","X-17167"
"3614","X-17178"
"3615","X-17189"
"3616","X-17299"
"3617","X-17327"
"3618","X-17337"
"3619","X-18249"
"3620","X-18601"
"3621","X-18899"
"3622","X-18914"
"3623","X-19141"
"3624","X-21319"
"3625","X-21339"
"3626","X-21343"
"3627","X-21365"
"3628","X-21411"
"3629","X-21441"
"3630","X-21448"
"3631","X-21628"
"3632","X-21849"
"3633","X-22162"
"3634","X-22379"
"3635","X-22764"
"3636","X-22816"
"3637","X-22822"
"3638","X-23026"
"3639","X-23293"
"3640","X-23314"
"3641","X-23639"
"3642","X-23705"
"3643","X-23782"
"3644","X-23788"
"3645","X-23997"
"3646","X-24061"
"3647","X-24065"
"3648","X-24071"
"3649","X-24125"
"3650","X-24241"
"3651","X-24278"
"3652","X-24293"
"3653","X-24309"
"3654","X-24425"
"3655","X-24435"
"3656","X5alpha.androstan.3beta.17beta.diol.disulfate"
"3657","Cholesterol in very large HDL"
"3658","Cholesteryl esters in very large HDL"
"3659","Free cholesterol in very large HDL"
"3660","Total lipids in very large HDL"
"3661","Concentration of very large HDL particles"
"3662","Phospholipids in very large HDL"
"3663","Triglycerides in very large HDL"
"3664","Cholesterol in very large VLDL"
"3665","Cholesteryl esters in very large VLDL"
"3666","Free cholesterol in very large VLDL"
"3667","Total lipids in very large VLDL"
"3668","Concentration of very large VLDL particles"
"3669","Phospholipids in very large VLDL"
"3670","Triglycerides in very large VLDL"
"3671","XL-HDL-C"
"3672","XL-HDL-CE"
"3673","XL-HDL-FC"
"3674","XL-HDL-L"
"3675","XL-HDL-P"
"3676","XL-HDL-PL"
"3677","XL-HDL-TG"
"3678","XL-VLDL-L"
"3679","XL-VLDL-P"
"3680","XL-VLDL-PL"
"3681","XL-VLDL-TG"
"3682","Cholesterol in very small VLDL"
"3683","Cholesteryl esters in very small VLDL"
"3684","Free cholesterol in very small VLDL"
"3685","Total lipids in very small VLDL"
"3686","Concentration of very small VLDL particles"
"3687","Phospholipids in very small VLDL"
"3688","Triglycerides in very small VLDL"
"3689","XS-VLDL-L"
"3690","XS-VLDL-P"
"3691","XS-VLDL-PL"
"3692","XS-VLDL-TG"
"3693","Cholesterol in chylomicrons and extremely large VLDL"
"3694","Cholesteryl esters in chylomicrons and extremely large VLDL"
"3695","Free cholesterol in chylomicrons and extremely large VLDL"
"3696","Total lipids in chylomicrons and extremely large VLDL"
"3697","Concentration of chylomicrons and extremely large VLDL particles"
"3698","Phospholipids in chylomicrons and extremely large VLDL"
"3699","Triglycerides in chylomicrons and extremely large VLDL"
"3700","XXL-VLDL-L"
"3701","XXL-VLDL-P"
"3702","XXL-VLDL-PL"
"3703","XXL-VLDL-TG"
"3704","X-10457"
"3705","X-12398"
"3706","X-12410"
"3707","X-16480"
"3708","X-17340"
"3709","X-17357"
"3710","X-18921"
"3711","X-19823"
"3712","X-21358"
"3713","X-21364"
"3714","X-21467"
"3715","X-21471"
"3716","X-21607"
"3717","X-21785"
"3718","X-21792"
"3719","X-22145"
"3720","X-23654"
"3721","X-23756"
"3722","X-24054"
"3723","X-24263"
"3724","X-24348"
"3725","X-24438"
"3726","X-24439"
"3727","X-24455"
"3728","X-24472"
"3729","X-24801"
"3730","X-24807"
"3731","X-11793"
"3732","X-12442"
"3733","X-14153"
"3734","X-16089"
"3735","X-16934"
"3736","X-18929"
"3737","(Palmitoylcarnitine + Octadecenoylcarnitine)/Acetylcarnitine"
"3738","(Valine + Leucine|Isoleucine)/(Phenylalanine + Tyrosine)"
"3739","10-undecenoate (11:1n1)_X-11438"
"3740","1-margaroyl-2-linoleoyl-GPC (17:0/18:2)"
"3741","1-margaroyl-2-oleoyl-GPC (17:0/18:1)"
"3742","2-Hydroxyisovalerylcarnitine/Leucine|Isoleucine"
"3743","3-(4-hydroxyphenyl)lactate_alpha-hydroxyisovalerate"
"3744","3-(4-hydroxyphenyl)lactate_X-11799"
"3745","3-Indolepropionic acid/(S)-(-)-2-HYDROXYISOCAPROIC ACID"
"3746","3-Indolepropionic acid/1,4-dihydro-1-Methyl-4-oxo-3-pyridinecarboxamide"
"3747","3-Indolepropionic acid/2-（dimethylamino）guanosine"
"3748","3-Indolepropionic acid/2-Hydroxyisocaproic Acid"
"3749","3-Indolepropionic acid/2-Methylsuccinic acid"
"3750","3-Indolepropionic acid/2-Picolinic acid"
"3751","3-Indolepropionic acid/3,3',5-Triiodo-L-thyronine"
"3752","3-Indolepropionic acid/3-Hydroxybutyrate"
"3753","3-Indolepropionic acid/4-Guanidinobutyric acid"
"3754","3-Indolepropionic acid/4-Hydroxybenzaldehyde"
"3755","3-Indolepropionic acid/4-Nitrophenol"
"3756","3-Indolepropionic acid/4-Pyridoxic acid"
"3757","3-Indolepropionic acid/5-oxoproline"
"3758","3-Indolepropionic acid/Adenine"
"3759","3-Indolepropionic acid/Azelaic Acid"
"3760","3-Indolepropionic acid/Choline"
"3761","3-Indolepropionic acid/cis-5,8,11,14,17-Eicosapentaenoic Acid（C20:5n3）"
"3762","3-Indolepropionic acid/Creatine"
"3763","3-Indolepropionic acid/Creatinine"
"3764","3-Indolepropionic acid/Cyclic AMP"
"3765","3-Indolepropionic acid/D-2-Aminobutyric acid"
"3766","3-Indolepropionic acid/D-Fructose"
"3767","3-Indolepropionic acid/Dodecanedioic aicd"
"3768","3-Indolepropionic acid/Hippuric acid"
"3769","3-Indolepropionic acid/Homovanillic acid"
"3770","3-Indolepropionic acid/Hypoxanthine"
"3771","3-Indolepropionic acid/Indole-5-carboxylic acid (98%)"
"3772","3-Indolepropionic acid/Isonicotinamide"
"3773","3-Indolepropionic acid/Kinurenine"
"3774","3-Indolepropionic acid/Kynurenic acid"
"3775","3-Indolepropionic acid/L-2-Aminobutyric acid"
"3776","3-Indolepropionic acid/L-Arginine"
"3777","3-Indolepropionic acid/Lauric Acid/Dodecanoic acid（C12:0）"
"3778","3-Indolepropionic acid/L-Carnitine"
"3779","3-Indolepropionic acid/L-Lysine"
"3780","3-Indolepropionic acid/L-Methionine"
"3781","3-Indolepropionic acid/L-Ornithine"
"3782","3-Indolepropionic acid/L-Pipecolic acid"
"3783","3-Indolepropionic acid/L-Saccharopine"
"3784","3-Indolepropionic acid/L-Tyrosine"
"3785","3-Indolepropionic acid/L-Valine"
"3786","3-Indolepropionic acid/LysoPC 14:0"
"3787","3-Indolepropionic acid/LysoPC 16:0"
"3788","3-Indolepropionic acid/LysoPC 16:1"
"3789","3-Indolepropionic acid/LysoPC 18:0"
"3790","3-Indolepropionic acid/LysoPC 18:1"
"3791","3-Indolepropionic acid/LysoPC 20:0"
"3792","3-Indolepropionic acid/LysoPC 20:1"
"3793","3-Indolepropionic acid/LysoPC 20:2"
"3794","3-Indolepropionic acid/Maltose"
"3795","3-Indolepropionic acid/Methylmalonic acid"
"3796","3-Indolepropionic acid/Myoinositol"
"3797","3-Indolepropionic acid/N,N-Dimethylglycine"
"3798","3-Indolepropionic acid/N6-Acetyl-L-lysine"
"3799","3-Indolepropionic acid/N-acetylglycine"
"3800","3-Indolepropionic acid/N-Acetyl-L-tyrosine"
"3801","3-Indolepropionic acid/Phenylpyruvic acid"
"3802","3-Indolepropionic acid/Pipecolinic acid"
"3803","3-Indolepropionic acid/S-(5-Adenosy)-L-homocysteine"
"3804","3-Indolepropionic acid/Sarcosine"
"3805","3-Indolepropionic acid/S-Sulfo-L-cysteine"
"3806","3-Indolepropionic acid/SubericAcid"
"3807","3-Indolepropionic acid/Taurocholic acid sodium salt hydrate"
"3808","3-Indolepropionic acid/Trimethylamine N-oxide"
"3809","3-Indolepropionic acid/Uric acid"
"3810","3-Indolepropionic acid/Uridine"
"3811","3-Indolepropionic acid/UROCANIC ACID(RG)"
"3812","3-Indolepropionic acid/α-Linolenic Acid（C18:3n3）"
"3813","3-Indolepropionic acid/β-Pseudouridine"
"3814","3-Indolepropionic acid/γ-Linolenic Acid（C18:3n6）"
"3815","3-methyl-2-oxovalerate_2-aminobutyrate"
"3816","4-acetamidobutanoate_N1-methyladenosine"
"3817","4-acetamidobutanoate_X-03056--N-[3-(2-Oxopyrrolidin-1-yl)propyl]acetamide"
"3818","5-Methyluridine/3-Indolepropionic acid"
"3819","5-oxoproline_N1-methyladenosine"
"3820","AA_DGLA"
"3821","acetylcarnitine_hexanoylcarnitine"
"3822","ADpSGEGDFXAEGGGVR*_X-14304--leucylalanine"
"3823","ADSGEGDFXAEGGGVR*_ADpSGEGDFXAEGGGVR*"
"3824","Ala/Glc"
"3825","Ala/Gln"
"3826","Ala/Gly"
"3827","Ala/His"
"3828","Ala/Ile"
"3829","Ala/Leu"
"3830","Ala/Phe"
"3831","Ala/Tyr"
"3832","Ala/Val"
"3833","Alanine/Acetylcarnitine"
"3834","Alanine/Aspartic acid"
"3835","androsterone sulfate_4-androsten-3beta,17beta-diol disulfate 2*"
"3836","androsterone sulfate_epiandrosterone sulfate"
"3837","ApoB/ApoA1"
"3838","Ratio of apolipoprotein B to apolipoprotein A1"
"3839","arachidonate (20:4n6)_1-arachidonoylglycerophosphoinositol*"
"3840","arachidonate (20:4n6)_1-palmitoylglycerophosphoethanolamine"
"3841","arachidonate (20:4n6)_dihomo-linolenate (20:3n3 or n6)"
"3842","Arginine/Citrulline"
"3843","Arginine/Glycine"
"3844","Arginine/Ornithine"
"3845","Aspartic acid/Acetylcarnitine"
"3846","Aspartic acid/Citrulline"
"3847","aspartylphenylalanine_X-14450--phenylalanylleucine"
"3848","Asp-phe/3-Indolepropionic acid"
"3849","betaine_glycine"
"3850","betaine_phenylalanine"
"3851","betaine_pyroglutamine*"
"3852","Bis/DB"
"3853","Bis/FA"
"3854","Carnitine free/Acylcarnitine total"
"3855","Carnitine free/Palmitoylcarnitine + Stearoylcarnitine"
"3856","carnitine_X-12798"
"3857","C-glycosyltryptophan*_hydroxyisovaleroyl carnitine"
"3858","C-glycosyltryptophan*_succinylcarnitine"
"3859","CH2/DB"
"3860","CH2/FA"
"3861","Cis/trans-18:2"
"3862","cis-5,8,11,14,17-Eicosapentaenoic Acid（C20:5n3）/LysoPC 20:2"
"3863","D5D_C20"
"3864","D6D_C18"
"3865","D9D_16_18"
"3866","D9D_C18"
"3867","D-Arabinose/3-Indolepropionic acid"
"3868","DB/FA"
"3869","dehydroisoandrosterone sulfate (DHEA-S)_4-androsten-3beta,17beta-diol disulfate 2*"
"3870","DGLA_GLA"
"3871","DGLA_LA"
"3872","DHA/PUFA"
"3873","DHA_DPAN3"
"3874","Ratio of docosahexaenoic acid to total fatty acids"
"3875","D-Malic acid/3-Indolepropionic acid"
"3876","docosapentaenoate (n3 DPA, 22:5n3)_X-12627"
"3877","DPAN3_EPA_DTA_AA"
"3878","DPAN6_AA"
"3879","DSGEGDFXAEGGGVR*_ADpSGEGDFXAEGGGVR*"
"3880","D-Sucrose/3-Indolepropionic acid"
"3881","DTA_AA"
"3882","D-Trehalose/3-Indolepropionic acid"
"3883","Dulcitol/3-Indolepropionic acid"
"3884","ELONG2_N6"
"3885","ELONG5_N6"
"3886","FA(16:1)_FA(18:2)"
"3887","FAw3/FA"
"3888","FAw3/FAw67"
"3889","FAw3/FAw9S"
"3890","Free-C/Est-C"
"3891","GLA_LA"
"3892","Glc/Pyr"
"3893","Gln/Glc"
"3894","Gln/Gly"
"3895","Gln/His"
"3896","Gln/Ile"
"3897","Gln/Leu"
"3898","Gln/Phe"
"3899","Gln/Pyr"
"3900","Gln/Tyr"
"3901","Gln/Val"
"3902","glucose_mannose"
"3903","Glutamic acid/Ornithine"
"3904","glutamine_histidine"
"3905","Gly/His"
"3906","Gly/Ile"
"3907","Gly/Leu"
"3908","Gly/Phe"
"3909","Gly/Tyr"
"3910","Gly/Val"
"3911","Gp/Serum-TG"
"3912","Gp/Tot-C"
"3913","hexanoylcarnitine_octanoylcarnitine"
"3914","His/Ile"
"3915","His/Leu"
"3916","His/Phe"
"3917","His/Tyr"
"3918","His/Val"
"3919","homocitrulline_1-eicosatrienoylglycerophosphocholine*"
"3920","Cholesterol to total lipids ratio in IDL"
"3921","Cholesteryl esters to total lipids ratio in IDL"
"3922","Free cholesterol to total lipids ratio in IDL"
"3923","Phospholipids to total lipids ratio in IDL"
"3924","Triglycerides to total lipids ratio in IDL"
"3925","Ile/Glc"
"3926","Ile/Leu"
"3927","Ile/Phe"
"3928","Ile/Serum-C"
"3929","Ile/Serum-TG"
"3930","Ile/Tyr"
"3931","Ile/Val"
"3932","indole_3_propionate"
"3933","indoleacetate_N2,N2-dimethylguanosine"
"3934","indolelactate_X-09789"
"3935","isoleucine_butyrylcarnitine"
"3936","isoleucine_X-11529"
"3937","Isovalerylcarnitine/Butyrylcarnitine"
"3938","kynurenine_glutaroyl carnitine"
"3939","kynurenine_tryptophan"
"3940","Cholesterol to total lipids ratio in large HDL"
"3941","Cholesteryl esters to total lipids ratio in large HDL"
"3942","Free cholesterol to total lipids ratio in large HDL"
"3943","Phospholipids to total lipids ratio in large HDL"
"3944","Triglycerides to total lipids ratio in large HDL"
"3945","Cholesterol to total lipids ratio in large LDL"
"3946","Cholesteryl esters to total lipids ratio in large LDL"
"3947","Free cholesterol to total lipids ratio in large LDL"
"3948","Phospholipids to total lipids ratio in large LDL"
"3949","Triglycerides to total lipids ratio in large LDL"
"3950","Cholesterol to total lipids ratio in large VLDL"
"3951","Cholesteryl esters to total lipids ratio in large VLDL"
"3952","Free cholesterol to total lipids ratio in large VLDL"
"3953","Phospholipids to total lipids ratio in large VLDL"
"3954","Triglycerides to total lipids ratio in large VLDL"
"3955","LA/DHA"
"3956","LA/FAw67"
"3957","LA/PUFA"
"3958","Ratio of linoleic acid to total fatty acids"
"3959","Lac/Ala"
"3960","Lac/Cit"
"3961","Lac/Glc"
"3962","Lac/Gln"
"3963","Lac/Pyr"
"3964","L-Asparagine Anhydrous/3-Indolepropionic acid"
"3965","L-Aspartic Acid/3-Indolepropionic acid"
"3966","L-Citrulline/3-Indolepropionic acid"
"3967","L-Cystine/3-Indolepropionic acid"
"3968","Leu/Glc"
"3969","Leu/Phe"
"3970","Leu/Serum-TG"
"3971","Leu/Tyr"
"3972","Leu/Val"
"3973","Leucine|Isoleucine/Propionylcarnitine"
"3974","L-Glutamic Acid/3-Indolepropionic acid"
"3975","L-Glutamine/3-Indolepropionic acid"
"3976","L-HDL-C/L-HDL-PL"
"3977","L-HDL-L/M-HDL-L"
"3978","L-HDL-L/S-HDL-L"
"3979","L-Histidine/3-Indolepropionic acid"
"3980","L-Histidine/Uric acid"
"3981","linoleate (18:2n6)_dihomo-linolenate (20:3n3 or n6)"
"3982","linoleate (18:2n6)_X-12092"
"3983","linoleate (18:2n6)_X-12442--5,8-tetradecadienoate"
"3984","LPC(18:2)_PC(34:2)"
"3985","LPC16:0/LPC18:0"
"3986","LPC16:1/LPC16:0"
"3987","LPC16:1/LPC18:1"
"3988","LPC16:1/LPC18:2"
"3989","LPC16:1/LPC20:3"
"3990","LPC16:1/LPC20:4"
"3991","LPC16:1/LPC22:5"
"3992","LPC20:3/LPC15:0"
"3993","LPC20:3/LPC16:0"
"3994","LPC20:3/LPC16:1"
"3995","LPC20:3/LPC18:0"
"3996","LPC20:3/LPC18:1"
"3997","LPC20:3/LPC18:2"
"3998","LPC20:3/LPC18:3"
"3999","LPC20:3/LPC20:0"
"4000","LPC20:3/LPC22:5"
"4001","L-Phenylalanine/3-Indolepropionic acid"
"4002","L-Proline/3-Indolepropionic acid"
"4003","L-Pyroglutamic Acid/3-Indolepropionic acid"
"4004","L-Serine/3-Indolepropionic acid"
"4005","L-Threonine/3-Indolepropionic acid"
"4006","L-Thyroxine/3-Indolepropionic acid"
"4007","L-Tryptophan/3-Indolepropionic acid"
"4008","Lysine/Pipecolic acid"
"4009","lysine_glutaroyl carnitine"
"4010","Cholesterol to total lipids ratio in medium HDL"
"4011","Cholesteryl esters to total lipids ratio in medium HDL"
"4012","Free cholesterol to total lipids ratio in medium HDL"
"4013","Phospholipids to total lipids ratio in medium HDL"
"4014","Triglycerides to total lipids ratio in medium HDL"
"4015","Cholesterol to total lipids ratio in medium LDL"
"4016","Cholesteryl esters to total lipids ratio in medium LDL"
"4017","Free cholesterol to total lipids ratio in medium LDL"
"4018","Phospholipids to total lipids ratio in medium LDL"
"4019","Triglycerides to total lipids ratio in medium LDL"
"4020","Cholesterol to total lipids ratio in medium VLDL"
"4021","Cholesteryl esters to total lipids ratio in medium VLDL"
"4022","Free cholesterol to total lipids ratio in medium VLDL"
"4023","Phospholipids to total lipids ratio in medium VLDL"
"4024","Triglycerides to total lipids ratio in medium VLDL"
"4025","Methylmalonylcarnitine/Propionylcarnitine"
"4026","M-HDL-C/M-HDL-PL"
"4027","M-HDL-L/S-HDL-L"
"4028","M-LDL-C/M-LDL-PL"
"4029","Ratio of monounsaturated fatty acids to total fatty acids"
"4030","myristate (14:0)_myristoleate (14:1n5)"
"4031","N1-methyladenosine_glutaroyl carnitine"
"4032","N-acetylalanine_X-12244--N-acetylcarnosine"
"4033","N-acetyl-l-leucine/3-Indolepropionic acid"
"4034","N-acetylornithine_myo-inositol"
"4035","OA_POA"
"4036","OA_SA"
"4037","octanoylcarnitine_X-13435"
"4038","Ratio of omega-3 fatty acids to total fatty acids"
"4039","Ratio of omega-6 fatty acids to omega-3 fatty acids"
"4040","Ratio of omega-6 fatty acids to total fatty acids"
"4041","OXD_N3"
"4042","OXD_N3_N6"
"4043","OXD_N6"
"4044","Pantothenate/3-Indolepropionic acid"
"4045","PC(32:0)_TG(52:3)"
"4046","PC(32:1)_TG(52:3)"
"4047","PC(34:3)_PC(38:4)"
"4048","PC(36:2)_PC(34:2)"
"4049","PC(36:4)_LPC(16:0)"
"4050","PC(36:4)_PC(34:2)"
"4051","PC(38:5)_PC(34:2)"
"4052","PC(38:6)_PC(34:2)"
"4053","PC26:0/PC32:1"
"4054","PC26:0/PC34:1"
"4055","PC26:0/PC36:1"
"4056","PC26:0/PC36:5"
"4057","PC26:0/PC38:3"
"4058","PC26:0/PC38:4"
"4059","PC26:0/PC38:5"
"4060","PC26:0/PC38:6"
"4061","PC26:0/PC40:5"
"4062","PC26:0/PC40:6"
"4063","PC26:0/PC40:7"
"4064","PC32:0/PC34:1"
"4065","PC32:1/PC32:2"
"4066","PC32:1/PC34:2"
"4067","PC32:1/PC36:2"
"4068","PC32:1/PC36:3"
"4069","PC32:1/PCO32:0"
"4070","PC32:1/PCO34:0"
"4071","PC32:1/PCO34:1"
"4072","PC32:1/PCO34:2"
"4073","PC32:1/PCO36:1"
